topicIdx|wordNum|shortOrLong|mode|dID|key|label
0|5|short|word|0|4732855049519104|cooking fish
0|5|short|word|1|4845435269152768|fish recipes
0|5|short|word|2|6152662521217024|Food preservation, drying
0|5|short|word|3|5991417906200576|health
0|5|short|word|4|4551968743751680|Recipe
0|5|short|histogram|0|5782073415565312|Ocean Environmental Impact
0|5|short|histogram|1|4563523547955200|Smoking Fish
0|5|short|histogram|2|4548051733577728|Smoking
0|5|short|histogram|3|5558632036958208|Cooking fish
0|5|short|histogram|4|4864034893463552|Cooking 
0|5|short|wordcloud|0|5078385973788672|Cooking fish
0|5|short|wordcloud|1|5943599082504192|Cooking
0|5|short|wordcloud|2|6470661899812864|cooking fish
0|5|short|wordcloud|3|5574462481104896|Cooking Fish
0|5|short|wordcloud|4|5712313751437312|cooking
0|5|short|topic-in-a-box|0|6180121052446720|cooking a fish
0|5|short|topic-in-a-box|1|6494926049116160|cooking fish
0|5|short|topic-in-a-box|2|6223226417971200|Bad smells
0|5|short|topic-in-a-box|3|6631849069641728|Stop Smoking
0|5|short|topic-in-a-box|4|6454071783325696|Fish oil burns
0|5|long|word|0|4732855049519104|An article about the techniques used when cooking fish.
0|5|long|word|1|4845435269152768|recipe is a set of instructions for preparing a particular dish
0|5|long|word|2|6152662521217024|Add brown sugar when smoking your fish
0|5|long|word|3|5991417906200576|This article is about healthy habits.
0|5|long|word|4|4551968743751680|How to prepare food.
0|5|long|histogram|0|5782073415565312|How certain things affect our oceans
0|5|long|histogram|1|4563523547955200|When smoking fish add oil to pan before putting it on the heat.
0|5|long|histogram|2|4548051733577728|Smoking generates heat
0|5|long|histogram|3|5558632036958208|Recipe for smoking fish requiring to add oil and heat. 
0|5|long|histogram|4|4864034893463552|Add oil in the pan to the fish while it's over the heat and smoking.
0|5|long|wordcloud|0|5078385973788672|All are things involving cooking the fish
0|5|long|wordcloud|1|5943599082504192|How to cook a healthy meal.
0|5|long|wordcloud|2|6470661899812864|When cooking fish, first add oil and heat until smoking.
0|5|long|wordcloud|3|5574462481104896|A great way to cook fish is to smoke the fish.
0|5|long|wordcloud|4|5712313751437312|Instructions on cooking a fish.
0|5|long|topic-in-a-box|0|6180121052446720|These are steps in cooking a fish
0|5|long|topic-in-a-box|1|6494926049116160|Articles describing how to cook fish.
0|5|long|topic-in-a-box|2|6223226417971200|Common causes of bad smells.
0|5|long|topic-in-a-box|3|6631849069641728|Adding Fish Oil to your diet can help you stop smoking.
