"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Answer.surveycode","Approve","Reject"
"3ABAOCJ4R8OHKKVWYQLQE8R9K6CQME","3KGK41XE0I4BCQK1GS5C4RRPQ98WN2","Pick the best label for a set of documents","We are researchers attempting to measure which labels better represent concepts in a set of newspaper articles.  Participants of the study are required to be at least 18 years old.","label evaluation task","$0.50","Wed Mar 18 20:51:31 PDT 2015","30","BatchId:1864263;","600","259200","Wed Mar 25 20:51:31 PDT 2015","","","30MVJZJNHNXNDX5I4T2E145NNTLJ99","A1FC1EFUMKYV5B","Submitted","Wed Mar 18 21:28:09 PDT 2015","Wed Mar 18 21:31:15 PDT 2015","Sat Mar 21 21:31:15 PDT 2015","","","","186","0% (0/0)","0% (0/0)","0% (0/0)","CM8WZ7WK"
"3ABAOCJ4R8OHKKVWYQLQE8R9K6CQME","3KGK41XE0I4BCQK1GS5C4RRPQ98WN2","Pick the best label for a set of documents","We are researchers attempting to measure which labels better represent concepts in a set of newspaper articles.  Participants of the study are required to be at least 18 years old.","label evaluation task","$0.50","Wed Mar 18 20:51:31 PDT 2015","30","BatchId:1864263;","600","259200","Wed Mar 25 20:51:31 PDT 2015","","","32XVDSJFP0H2ELQ4MH0R79PQLHKM22","A12GVRSR9VNATY","Submitted","Thu Mar 19 06:55:25 PDT 2015","Thu Mar 19 06:58:12 PDT 2015","Sun Mar 22 06:58:12 PDT 2015","","","","167","0% (0/0)","0% (0/0)","0% (0/0)","AIAI165P"
"3ABAOCJ4R8OHKKVWYQLQE8R9K6CQME","3KGK41XE0I4BCQK1GS5C4RRPQ98WN2","Pick the best label for a set of documents","We are researchers attempting to measure which labels better represent concepts in a set of newspaper articles.  Participants of the study are required to be at least 18 years old.","label evaluation task","$0.50","Wed Mar 18 20:51:31 PDT 2015","30","BatchId:1864263;","600","259200","Wed Mar 25 20:51:31 PDT 2015","","","33LKR6A5KF4Z2VYSCA1PO4ADNJZT1Q","A1IZ4NX41GKU4X","Submitted","Thu Mar 19 06:11:14 PDT 2015","Thu Mar 19 06:14:33 PDT 2015","Sun Mar 22 06:14:33 PDT 2015","","","","199","0% (0/0)","0% (0/0)","0% (0/0)","A06N1WQA"
"3ABAOCJ4R8OHKKVWYQLQE8R9K6CQME","3KGK41XE0I4BCQK1GS5C4RRPQ98WN2","Pick the best label for a set of documents","We are researchers attempting to measure which labels better represent concepts in a set of newspaper articles.  Participants of the study are required to be at least 18 years old.","label evaluation task","$0.50","Wed Mar 18 20:51:31 PDT 2015","30","BatchId:1864263;","600","259200","Wed Mar 25 20:51:31 PDT 2015","","","33NF62TLXKM7UTO98QT3RDJ3YNYJK4","A1JZRFQ88FCYKK","Submitted","Wed Mar 18 22:11:34 PDT 2015","Wed Mar 18 22:13:51 PDT 2015","Sat Mar 21 22:13:51 PDT 2015","","","","137","0% (0/0)","0% (0/0)","0% (0/0)","AZKRGI2F"
"3ABAOCJ4R8OHKKVWYQLQE8R9K6CQME","3KGK41XE0I4BCQK1GS5C4RRPQ98WN2","Pick the best label for a set of documents","We are researchers attempting to measure which labels better represent concepts in a set of newspaper articles.  Participants of the study are required to be at least 18 years old.","label evaluation task","$0.50","Wed Mar 18 20:51:31 PDT 2015","30","BatchId:1864263;","600","259200","Wed Mar 25 20:51:31 PDT 2015","","","34PGFRQONPVYPTIQX4C6FODYLUHWJN","A18ZOLS2FGK8H7","Submitted","Thu Mar 19 05:50:11 PDT 2015","Thu Mar 19 05:55:32 PDT 2015","Sun Mar 22 05:55:32 PDT 2015","","","","321","0% (0/0)","0% (0/0)","0% (0/0)","AUKPFVBT"
"3ABAOCJ4R8OHKKVWYQLQE8R9K6CQME","3KGK41XE0I4BCQK1GS5C4RRPQ98WN2","Pick the best label for a set of documents","We are researchers attempting to measure which labels better represent concepts in a set of newspaper articles.  Participants of the study are required to be at least 18 years old.","label evaluation task","$0.50","Wed Mar 18 20:51:31 PDT 2015","30","BatchId:1864263;","600","259200","Wed Mar 25 20:51:31 PDT 2015","","","35LDD5557BOXV1UUBN6V75BK2HTKM9","A22634OVAX2IVC","Submitted","Wed Mar 18 21:39:03 PDT 2015","Wed Mar 18 21:42:06 PDT 2015","Sat Mar 21 21:42:06 PDT 2015","","","","183","0% (0/0)","0% (0/0)","0% (0/0)","TT74JZM6"
"3ABAOCJ4R8OHKKVWYQLQE8R9K6CQME","3KGK41XE0I4BCQK1GS5C4RRPQ98WN2","Pick the best label for a set of documents","We are researchers attempting to measure which labels better represent concepts in a set of newspaper articles.  Participants of the study are required to be at least 18 years old.","label evaluation task","$0.50","Wed Mar 18 20:51:31 PDT 2015","30","BatchId:1864263;","600","259200","Wed Mar 25 20:51:31 PDT 2015","","","37C0GNLMHGNNSS3SWQDREWJ8S8JD6H","A7BZXH7N2PYJS","Submitted","Wed Mar 18 23:15:01 PDT 2015","Wed Mar 18 23:24:09 PDT 2015","Sat Mar 21 23:24:09 PDT 2015","","","","548","0% (0/0)","0% (0/0)","0% (0/0)","KP432EIB"
"3ABAOCJ4R8OHKKVWYQLQE8R9K6CQME","3KGK41XE0I4BCQK1GS5C4RRPQ98WN2","Pick the best label for a set of documents","We are researchers attempting to measure which labels better represent concepts in a set of newspaper articles.  Participants of the study are required to be at least 18 years old.","label evaluation task","$0.50","Wed Mar 18 20:51:31 PDT 2015","30","BatchId:1864263;","600","259200","Wed Mar 25 20:51:31 PDT 2015","","","37W3JXSD67SOKIDPJ4D9PBSMYYSWYJ","A3GJPHFUCNBO8J","Submitted","Thu Mar 19 06:43:39 PDT 2015","Thu Mar 19 06:46:38 PDT 2015","Sun Mar 22 06:46:38 PDT 2015","","","","179","0% (0/0)","0% (0/0)","0% (0/0)","ERWMIMA0"
"3ABAOCJ4R8OHKKVWYQLQE8R9K6CQME","3KGK41XE0I4BCQK1GS5C4RRPQ98WN2","Pick the best label for a set of documents","We are researchers attempting to measure which labels better represent concepts in a set of newspaper articles.  Participants of the study are required to be at least 18 years old.","label evaluation task","$0.50","Wed Mar 18 20:51:31 PDT 2015","30","BatchId:1864263;","600","259200","Wed Mar 25 20:51:31 PDT 2015","","","39K0FND3AIZRJOL8ZWT6DR8OX5EAMZ","A24Q2HEV0ZW4RP","Submitted","Thu Mar 19 07:26:14 PDT 2015","Thu Mar 19 07:30:22 PDT 2015","Sun Mar 22 07:30:22 PDT 2015","","","","248","0% (0/0)","0% (0/0)","0% (0/0)","S290ZWAN"
"3ABAOCJ4R8OHKKVWYQLQE8R9K6CQME","3KGK41XE0I4BCQK1GS5C4RRPQ98WN2","Pick the best label for a set of documents","We are researchers attempting to measure which labels better represent concepts in a set of newspaper articles.  Participants of the study are required to be at least 18 years old.","label evaluation task","$0.50","Wed Mar 18 20:51:31 PDT 2015","30","BatchId:1864263;","600","259200","Wed Mar 25 20:51:31 PDT 2015","","","39PAAFCODNKFO7EQJOLEVSHTCNWVT7","A3A7UBWE6KRS3X","Submitted","Wed Mar 18 21:53:00 PDT 2015","Wed Mar 18 21:57:28 PDT 2015","Sat Mar 21 21:57:28 PDT 2015","","","","268","100% (3/3)","100% (3/3)","0% (0/0)","JIFP8790"
